Categoría,# Origen,Tipo Equipo/Rol,Sede,Área / Ubicación,Hostname / Nombre,Marca,Modelo,Marca / Modelo,Serial / Código,IP Principal,IP Gestión,IP WAN,IP LAN,VLAN,Estado,Rol / Función,Observaciones,Fuente
Switches,33,🟢 Acceso L2,Campus,Gerencia - EdC P1,SW-CAM-ACC-06,Cisco,CBS350-24P-4X,Cisco CBS350-24P-4X,SN-CAM-SW-0015,,10.20.99.26,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (195W),sw_router_ap||Inventario Switches
Switches,34,🟢 Acceso L2,Campus,TI - EdC P2,SW-CAM-ACC-07,Cisco,CBS350-24P-4X,Cisco CBS350-24P-4X,SN-CAM-SW-0016,,10.20.99.27,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (195W),sw_router_ap||Inventario Switches
Switches,35,🟢 Acceso L2,Campus,Financiera - EdC P3,SW-CAM-ACC-08,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-CAM-SW-0017,,10.20.99.28,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,36,🟢 Acceso L2,Campus,Atención Cliente - EdD P1,SW-CAM-ACC-09,TP-Link,TL-SG3452XP,TP-Link TL-SG3452XP,SN-CAM-SW-0018,,10.20.99.29,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (600W),sw_router_ap||Inventario Switches
Switches,37,🟢 Acceso L2,Campus,Ventas - EdD P2,SW-CAM-ACC-10,TP-Link,TL-SG3452XP,TP-Link TL-SG3452XP,SN-CAM-SW-0019,,10.20.99.30,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (600W),sw_router_ap||Inventario Switches
Switches,38,🟢 Acceso L2,Campus,Asesoría Legal - EdE P1,SW-CAM-ACC-11,Cisco,CBS350-24T-4X,Cisco CBS350-24T-4X,SN-CAM-SW-0020,,10.20.99.31,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Switches,39,🟢 Acceso L2,Campus,Logística - EdE P2,SW-CAM-ACC-12,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-CAM-SW-0021,,10.20.99.32,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,40,🟢 Acceso L2,Campus,I+D - EdE P3,SW-CAM-ACC-13,TP-Link,TL-SG3428XMP,TP-Link TL-SG3428XMP,SN-CAM-SW-0022,,10.20.99.33,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: Sí (384W),sw_router_ap||Inventario Switches
Switches,41,🟢 Acceso L2,Campus,Auditorio / Capacitación,SW-CAM-ACC-14,Cisco,CBS350-48P-4X,Cisco CBS350-48P-4X,SN-CAM-SW-0023,,10.20.99.34,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 48x1G + 4x10G SFP+ | PoE: Sí (370W),sw_router_ap||Inventario Switches
Switches,42,🟢 Acceso L2,Campus,Parqueadero / CCTV Ext.,SW-CAM-ACC-15,TP-Link,TL-SG3428X,TP-Link TL-SG3428X,SN-CAM-SW-0024,,10.20.99.35,,,VLAN 999,✅ Activo,🟢 Acceso L2,Puertos: 24x1G + 4x10G SFP+ | PoE: No,sw_router_ap||Inventario Switches
Routers & Firewalls,1,🔴 Router Borde / Firewall,Teusaquillo,Rack Principal - Cuarto TI P1,RT-TEU-BORDER-01,MikroTik,CCR2004-16G-2S+,MikroTik CCR2004-16G-2S+,,,10.10.99.1,203.0.113.2/30 (ISP1),10.10.0.254/24,VLAN 999,✅ Activo,🔴 Router Borde / Firewall,Interfaces: 16xGbE + 2xSFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,2,🔴 Firewall UTM,Teusaquillo,Rack Principal - Cuarto TI P1,FW-TEU-UTM-01,Fortinet,FortiGate 200F,Fortinet FortiGate 200F,,,10.10.99.2,203.0.113.6/30 (ISP2),10.10.0.253/24,VLAN 999,✅ Activo,🔴 Firewall UTM,Interfaces: 10xGbE + 2x10G SFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,3,🟠 Router VPN / MPLS,Teusaquillo,Rack Secundario - Cuarto TI P1,RT-TEU-VPN-01,MikroTik,CCR2116-12G-4S+,MikroTik CCR2116-12G-4S+,,,10.10.99.3,172.16.0.1/30 (VPN),10.10.0.252/24,VLAN 999,✅ Activo,🟠 Router VPN / MPLS,Interfaces: 12xGbE + 4xSFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,4,🟠 Router Inter-VLAN / Core,Teusaquillo,Rack Principal - Cuarto TI P1,RT-TEU-CORE-01,MikroTik,CCR2004-1G-12S+2XS,MikroTik CCR2004-1G-12S+2XS,,,10.10.99.4,N/A (Interno),10.10.0.251/24,VLAN 999,✅ Activo,🟠 Router Inter-VLAN / Core,Interfaces: 1xGbE Mgmt + 12xSFP+ + 2x25G,sw_router_ap||Inventario Routers
Routers & Firewalls,5,🔴 Router Borde / Firewall,Campus,DataCenter Principal - Rack A1,RT-CAM-BORDER-01,MikroTik,CCR2116-12G-4S+,MikroTik CCR2116-12G-4S+,,,10.20.99.1,198.51.100.2/30 (ISP1),10.20.0.254/24,VLAN 999,✅ Activo,🔴 Router Borde / Firewall,Interfaces: 12xGbE + 4xSFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,6,🔴 Router Borde Redundante,Campus,DataCenter Principal - Rack A2,RT-CAM-BORDER-02,MikroTik,CCR2116-12G-4S+,MikroTik CCR2116-12G-4S+,,,10.20.99.2,198.51.100.6/30 (ISP2),10.20.0.253/24,VLAN 999,✅ Activo,🔴 Router Borde Redundante,Interfaces: 12xGbE + 4xSFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,7,🔴 Firewall UTM Principal,Campus,DataCenter Principal - Rack A3,FW-CAM-UTM-01,Fortinet,FortiGate 400F,Fortinet FortiGate 400F,,,10.20.99.3,198.51.100.10/30,10.20.0.252/24,VLAN 999,✅ Activo,🔴 Firewall UTM Principal,Interfaces: 16xGbE + 4x10G SFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,8,🔴 Firewall UTM Redundante,Campus,DataCenter Respaldo - Rack B1,FW-CAM-UTM-02,Fortinet,FortiGate 400F,Fortinet FortiGate 400F,,,10.20.99.4,198.51.100.14/30,10.20.0.251/24,VLAN 999,✅ Activo,🔴 Firewall UTM Redundante,Interfaces: 16xGbE + 4x10G SFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,9,🟠 Router VPN / MPLS,Campus,DataCenter Principal - Rack A4,RT-CAM-VPN-01,MikroTik,CCR2004-16G-2S+,MikroTik CCR2004-16G-2S+,,,10.20.99.5,172.16.1.1/30 (VPN),10.20.0.250/24,VLAN 999,✅ Activo,🟠 Router VPN / MPLS,Interfaces: 16xGbE + 2xSFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,10,🟠 Router MPLS / BGP,Campus,DataCenter Principal - Rack B2,RT-CAM-MPLS-01,Cisco,ASR 1001-X,Cisco ASR 1001-X,,,10.20.99.6,172.16.2.1/30 (MPLS),10.20.0.249/24,VLAN 999,✅ Activo,🟠 Router MPLS / BGP,Interfaces: 6xGbE + 2x10G SFP+,sw_router_ap||Inventario Routers
Routers & Firewalls,11,🟡 Router Enlace Inter-Sede,Campus,DataCenter Respaldo - Rack B3,RT-CAM-WAN-01,MikroTik,CCR2004-1G-12S+2XS,MikroTik CCR2004-1G-12S+2XS,,,10.20.99.7,10.30.0.2/30 (Link),10.20.0.248/24,VLAN 999,✅ Activo,🟡 Router Enlace Inter-Sede,Interfaces: 1xGbE + 12xSFP+ + 2x25G,sw_router_ap||Inventario Routers
Access Points WiFi,1,Access Point WiFi,Teusaquillo,Recepción Piso 1 - P1,AP-TEU-01,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.101,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,2,Access Point WiFi,Teusaquillo,Pasillo Central P1 - P1,AP-TEU-02,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.102,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,3,Access Point WiFi,Teusaquillo,Contabilidad - P1,AP-TEU-03,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.103,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,4,Access Point WiFi,Teusaquillo,Recursos Humanos - P1,AP-TEU-04,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.104,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,5,Access Point WiFi,Teusaquillo,Pasillo P2 Norte - P2,AP-TEU-05,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.105,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,6,Access Point WiFi,Teusaquillo,Mercadeo - P2,AP-TEU-06,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.106,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,7,Access Point WiFi,Teusaquillo,Producción Norte - P2,AP-TEU-07,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.107,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,8,Access Point WiFi,Teusaquillo,Producción Sur - P2,AP-TEU-08,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.108,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,9,Access Point WiFi,Teusaquillo,Sala de Reuniones A - P2,AP-TEU-09,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.109,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,10,Access Point WiFi,Teusaquillo,Gerencia - P3,AP-TEU-10,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.110,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,11,Access Point WiFi,Teusaquillo,TI / Soporte - P3,AP-TEU-11,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.111,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,12,Access Point WiFi,Teusaquillo,Financiera - P3,AP-TEU-12,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.112,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,13,Access Point WiFi,Teusaquillo,Sala de Reuniones B - P3,AP-TEU-13,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.113,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,14,Access Point WiFi,Teusaquillo,Atención al Cliente - P4,AP-TEU-14,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.114,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,15,Access Point WiFi,Teusaquillo,Ventas Norte - P4,AP-TEU-15,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.115,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,16,Access Point WiFi,Teusaquillo,Ventas Sur - P4,AP-TEU-16,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.116,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,17,Access Point WiFi,Teusaquillo,Asesoría Legal - P4,AP-TEU-17,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.117,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,18,Access Point WiFi,Teusaquillo,Logística y Compras - P5,AP-TEU-18,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.118,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,19,Access Point WiFi,Teusaquillo,Investigación y Des. - P5,AP-TEU-19,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.119,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,20,Access Point WiFi,Teusaquillo,Cafetería - P1,AP-TEU-20,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.120,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,21,Access Point WiFi,Teusaquillo,Sala Capacitación - P3,AP-TEU-21,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.121,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,22,Access Point WiFi,Teusaquillo,Pasillo P5 - P5,AP-TEU-22,MikroTik,cAP ax,MikroTik cAP ax,,,10.10.99.122,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,23,Access Point WiFi,Teusaquillo,Terraza / Exterior - EXT,AP-TEU-EXT-01,MikroTik,LHG ax,MikroTik LHG ax,,,10.10.99.123,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,24,Access Point WiFi,Teusaquillo,Parqueadero Norte - EXT,AP-TEU-EXT-02,MikroTik,SXTsq 5 ax,MikroTik SXTsq 5 ax,,,10.10.99.124,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,25,Access Point WiFi,Teusaquillo,Parqueadero Sur - EXT,AP-TEU-EXT-03,MikroTik,SXTsq 5 ax,MikroTik SXTsq 5 ax,,,10.10.99.125,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 5G | Controlador: CAPsMAN TEU,sw_router_ap||Inventario APs WiFi
Access Points WiFi,26,Access Point WiFi,Campus,Recepción Edificio A - P1,AP-CAM-01,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.101,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,27,Access Point WiFi,Campus,Lobby Principal - P1,AP-CAM-02,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.102,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,28,Access Point WiFi,Campus,Contabilidad EdA - P1,AP-CAM-03,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.103,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,29,Access Point WiFi,Campus,RRHH EdA - P2,AP-CAM-04,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.104,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,30,Access Point WiFi,Campus,Pasillo EdA P2 - P2,AP-CAM-05,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.105,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,31,Access Point WiFi,Campus,Mercadeo EdB P1 - P1,AP-CAM-06,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.106,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,32,Access Point WiFi,Campus,Mercadeo EdB P2 - P2,AP-CAM-07,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.107,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,33,Access Point WiFi,Campus,Producción EdB P1 - P1,AP-CAM-08,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.108,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,34,Access Point WiFi,Campus,Producción EdB P2 - P2,AP-CAM-09,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.109,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,35,Access Point WiFi,Campus,Producción EdB P3 - P3,AP-CAM-10,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.110,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,36,Access Point WiFi,Campus,Gerencia EdC P1 - P1,AP-CAM-11,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.111,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,37,Access Point WiFi,Campus,TI EdC P2 - P2,AP-CAM-12,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.112,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,38,Access Point WiFi,Campus,Financiera EdC P3 - P3,AP-CAM-13,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.113,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,39,Access Point WiFi,Campus,Sala Reuniones EdC - P2,AP-CAM-14,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.114,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,40,Access Point WiFi,Campus,Atención Cliente EdD P1 - P1,AP-CAM-15,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.115,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,41,Access Point WiFi,Campus,Atención Cliente EdD P2 - P2,AP-CAM-16,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.116,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,42,Access Point WiFi,Campus,Ventas EdD P1 - P1,AP-CAM-17,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.117,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,43,Access Point WiFi,Campus,Ventas EdD P2 - P2,AP-CAM-18,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.118,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,44,Access Point WiFi,Campus,Asesoría Legal EdE - P1,AP-CAM-19,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.119,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,45,Access Point WiFi,Campus,Logística EdE P2 - P2,AP-CAM-20,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.120,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,46,Access Point WiFi,Campus,I+D EdE P3 - P3,AP-CAM-21,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.121,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,47,Access Point WiFi,Campus,Auditorio Principal - P1,AP-CAM-22,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.122,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,48,Access Point WiFi,Campus,Sala Capacitaciones - P2,AP-CAM-23,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.123,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,49,Access Point WiFi,Campus,Cafetería Campus - P1,AP-CAM-24,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.124,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,50,Access Point WiFi,Campus,Pasillo EdA P3 - P3,AP-CAM-25,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.125,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,51,Access Point WiFi,Campus,Pasillo EdB P4 - P4,AP-CAM-26,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.126,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,52,Access Point WiFi,Campus,Pasillo EdC P4 - P4,AP-CAM-27,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.127,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,53,Access Point WiFi,Campus,Sala de Juntas VIP - P4,AP-CAM-28,Ubiquiti,UniFi U6 Pro,Ubiquiti UniFi U6 Pro,,,10.20.99.128,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,54,Access Point WiFi,Campus,Patio Central Campus - EXT,AP-CAM-EXT-01,Ubiquiti,UniFi U6 Mesh,Ubiquiti UniFi U6 Mesh,,,10.20.99.129,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
Access Points WiFi,55,Access Point WiFi,Campus,Zona Parqueadero A - EXT,AP-CAM-EXT-02,Ubiquiti,UniFi U6 Mesh,Ubiquiti UniFi U6 Mesh,,,10.20.99.130,,,VLAN 999,✅ Activo,WiFi Corporativo / Invitados,WiFi 6 / 802.11ax | 2.4G + 5G | Controlador: Unifi Controller,sw_router_ap||Inventario APs WiFi
